url;valid_format;reachable;status_code;final_url;redirected;error
https://www.sosuave.com/articles/at/the-creepy-myth-approach-younger-women-without-feeling-awkward.htm;True;True;200;https://www.sosuave.com/articles/at/the-creepy-myth-approach-younger-women-without-feeling-awkward.htm;False;
https://www.sosuave.com/articles/the-most-diabolical-test-a-woman-will-throw-at-you.htm;True;True;200;https://www.sosuave.com/articles/the-most-diabolical-test-a-woman-will-throw-at-you.htm;False;
https://www.sosuave.com/articles/at/why-mystery-attracts-women-and-how-to-use-it-most-effectively.htm;True;True;200;https://www.sosuave.com/articles/at/why-mystery-attracts-women-and-how-to-use-it-most-effectively.htm;False;
https://www.sosuave.com/articles/exf/3-reasons-why-your-ex-girlfriend-wants-you-back.htm;True;True;200;https://www.sosuave.com/articles/exf/3-reasons-why-your-ex-girlfriend-wants-you-back.htm;False;
https://www.sosuave.com/articles/at/how-to-tell-stories-that-captivate-women-and-pull-them-in.htm;True;True;200;https://www.sosuave.com/articles/at/how-to-tell-stories-that-captivate-women-and-pull-them-in.htm;False;
https://www.sosuave.com/articles/jr/become-confident-around-women-in-4-simple-steps.htm;True;True;200;https://www.sosuave.com/articles/jr/become-confident-around-women-in-4-simple-steps.htm;False;
https://www.sosuave.com/articles/exf/3-text-messages-to-send-your-ex-girlfriend-to-make-her-come-running-back-to-you.htm;True;True;200;https://www.sosuave.com/articles/exf/3-text-messages-to-send-your-ex-girlfriend-to-make-her-come-running-back-to-you.htm;False;
https://www.sosuave.com/articles/why-women-always-want-you-when-you-have-a-girlfriend.htm;True;True;200;https://www.sosuave.com/articles/why-women-always-want-you-when-you-have-a-girlfriend.htm;False;
https://www.sosuave.com/articles/at/she-judges-you-by-your-crew-before-you-say-a-word.htm;True;True;200;https://www.sosuave.com/articles/at/she-judges-you-by-your-crew-before-you-say-a-word.htm;False;
https://www.sosuave.com/articles/at/stop-chasing-energy-become-the-source.htm;True;True;200;https://www.sosuave.com/articles/at/stop-chasing-energy-become-the-source.htm;False;
https://www.sosuave.com/articles/at/what-women-say-what-women-mean-how-to-respond.htm;True;True;200;https://www.sosuave.com/articles/at/what-women-say-what-women-mean-how-to-respond.htm;False;
https://www.sosuave.com/rondavid/succeed59.htm;True;True;200;https://www.sosuave.com/rondavid/succeed59.htm;False;
https://www.sosuave.com/articles/at/how-to-reprogram-your-subconscious-mind-to-build-unshakable-confidence.htm;True;True;200;https://www.sosuave.com/articles/at/how-to-reprogram-your-subconscious-mind-to-build-unshakable-confidence.htm;False;
https://www.sosuave.com/articles/at/dating-arousal-hack-that-beats-conversation.htm;True;True;200;https://www.sosuave.com/articles/at/dating-arousal-hack-that-beats-conversation.htm;False;
https://www.sosuave.com/rondavid/succeed40.htm;True;True;200;https://www.sosuave.com/rondavid/succeed40.htm;False;
https://www.sosuave.com/articles/at/invisible-attraction-5-moves-women-wont-see-and-cant-resist.htm;True;True;200;https://www.sosuave.com/articles/at/invisible-attraction-5-moves-women-wont-see-and-cant-resist.htm;False;
https://www.sosuave.com/articles/at/how-to-be-the-most-exciting-man-in-the-room.htm;True;True;200;https://www.sosuave.com/articles/at/how-to-be-the-most-exciting-man-in-the-room.htm;False;
https://www.sosuave.com/articles/exf/5-things-you-must-do-if-you-ever-want-your-ex-girlfriend-back.htm;True;True;200;https://www.sosuave.com/articles/exf/5-things-you-must-do-if-you-ever-want-your-ex-girlfriend-back.htm;False;
https://www.sosuave.com/articles/at/chivalry-is-not-dead-just-misunderstood.htm;True;True;200;https://www.sosuave.com/articles/at/chivalry-is-not-dead-just-misunderstood.htm;False;
https://www.sosuave.com/articles/am/how-to-start-a-conversation-with-a-woman.htm;True;True;200;https://www.sosuave.com/articles/am/how-to-start-a-conversation-with-a-woman.htm;False;
https://www.sosuave.com/articles/at/nice-guys-guide-to-becoming-more-alpha-and-getting-laid.htm;True;True;200;https://www.sosuave.com/articles/at/nice-guys-guide-to-becoming-more-alpha-and-getting-laid.htm;False;
https://www.sosuave.com/rondavid/86-how-to-fill-your-life-with-women.htm;True;True;200;https://www.sosuave.com/rondavid/86-how-to-fill-your-life-with-women.htm;False;
https://www.sosuave.com/articles/at/jobs-that-get-you-women-and-those-that-make-sure-you-die-alone.htm;True;True;200;https://www.sosuave.com/articles/at/jobs-that-get-you-women-and-those-that-make-sure-you-die-alone.htm;False;
https://www.sosuave.com/articles/at/5-steps-to-close-gap-and-dominate-with-women.htm;True;True;200;https://www.sosuave.com/articles/at/5-steps-to-close-gap-and-dominate-with-women.htm;False;
https://www.sosuave.com/articles/at/why-emotional-control-attracts-women.htm;True;True;200;https://www.sosuave.com/articles/at/why-emotional-control-attracts-women.htm;False;
https://www.sosuave.com/articles/talk/how-to-have-great-conversations-with-women.htm;True;True;200;https://www.sosuave.com/articles/talk/how-to-have-great-conversations-with-women.htm;False;
https://www.sosuave.com/rondavid/87-how-to-increase-the-sexual-tension-with-a-woman.htm;True;True;200;https://www.sosuave.com/rondavid/87-how-to-increase-the-sexual-tension-with-a-woman.htm;False;
https://www.sosuave.com/articles/at/why-nice-guys-finish-last-with-women.htm;True;True;200;https://www.sosuave.com/articles/at/why-nice-guys-finish-last-with-women.htm;False;
https://www.sosuave.com/articles/drama.htm;True;True;200;https://www.sosuave.com/articles/drama.htm;False;
https://www.sosuave.com/articles/at/7-clear-signs-she-likes-you.htm;True;True;200;https://www.sosuave.com/articles/at/7-clear-signs-she-likes-you.htm;False;
https://www.sosuave.com/articles/am/alpha-male-body-language.htm;True;True;200;https://www.sosuave.com/articles/am/alpha-male-body-language.htm;False;
